City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
180,papatowai,-46.5619,169.4708,41.49,77,7,3.02,NZ,1699519395
181,hithadhoo,-0.6,73.0833,81.09,81,10,11.03,MV,1699519395
182,rondonopolis,-16.4708,-54.6356,76.84,64,3,2.89,BR,1699519395
183,callao,-12.0667,-77.15,67.71,88,100,10.36,PE,1699519396
184,waat,51.1454,6.4958,50.92,92,100,5.75,DE,1699519396
185,ji'an,27.1172,114.9793,68.81,96,100,3.96,CN,1699519397
186,coxim,-18.5067,-54.76,77.77,59,3,3.24,BR,1699519397
187,homeland park,34.4707,-82.6707,62.82,84,0,3.44,US,1699519397
188,remire-montjoly,4.9167,-52.2667,71.64,100,0,0.0,GF,1699519398
189,kailua-kona,19.6406,-155.9956,78.76,89,0,6.91,US,1699519243
190,valozhyn,54.0909,26.5225,44.26,86,99,8.48,BY,1699519399
191,keetmanshoop,-26.5833,18.1333,83.32,16,0,3.44,NA,1699519399
192,bilibino,68.0546,166.4372,-0.29,97,100,4.03,RU,1699519400
193,bontang,0.1333,117.5,82.67,79,100,7.54,ID,1699519400
194,uttarkashi,30.7333,78.45,72.95,34,3,6.4,IN,1699519400
195,acajutla,13.5928,-89.8275,78.6,81,50,4.27,SV,1699519401
196,prince rupert,54.3161,-130.3201,51.49,84,100,46.04,CA,1699519401
197,terra rica,-22.7094,-52.6169,74.84,67,44,3.18,BR,1699519401
198,mahibadhoo,3.7833,72.9667,81.55,76,100,9.17,MV,1699519402
199,panaba,21.2833,-88.2667,68.99,93,55,6.29,MX,1699519402
200,gobabis,-22.45,18.9667,89.51,9,0,13.0,NA,1699519403
201,jambi city,-1.6,103.6167,87.87,59,96,3.98,ID,1699519403
202,laguna,38.421,-121.4238,52.09,77,0,0.0,US,1699519404
203,kagoro,9.6,8.3833,84.99,27,66,2.15,NG,1699519404
204,sur,22.5667,59.5289,83.01,56,0,10.2,OM,1699519404
205,tazovsky,67.4667,78.7,28.85,87,100,18.79,RU,1699519405
206,boguchany,58.3814,97.4531,12.85,74,4,3.0,RU,1699519405
207,richards bay,-28.783,32.0377,67.78,78,100,5.28,ZA,1699519405
208,kayangel,8.0823,134.7173,84.74,74,23,12.08,PW,1699519406
209,shingu,33.7333,135.9833,65.07,88,75,3.31,JP,1699519406
210,mount gambier,-37.8333,140.7667,56.64,85,2,7.36,AU,1699519407
211,gadzhiyevo,69.2551,33.3362,18.75,94,80,8.23,RU,1699519407
212,sheikhpura,25.15,85.85,85.69,32,34,6.71,IN,1699519408
213,ivins,37.1686,-113.6794,47.52,54,0,8.1,US,1699519408
214,coruripe,-10.1256,-36.1756,77.72,75,31,8.95,BR,1699519409
215,ouarzazat,30.9189,-6.8934,50.29,37,0,2.3,MA,1699519409
216,oltinko'l,40.8011,72.1634,59.77,48,100,7.56,UZ,1699519410
217,chichawatni,30.5333,72.7,89.44,20,5,5.41,PK,1699519410
218,zardob,40.2183,47.7083,69.06,36,13,5.75,AZ,1699519410
219,west island,-12.1568,96.8225,84.18,74,62,10.36,CC,1699519411
220,cannonvale,-20.2833,148.7,74.59,69,13,14.52,AU,1699519411
221,cabo san lucas,22.8909,-109.9124,74.52,93,100,5.21,MX,1699519411
222,belem do brejo do cruz,-6.1886,-37.5358,77.25,62,0,15.08,BR,1699519412
223,thiruvarur,10.7667,79.65,85.37,69,85,8.7,IN,1699519412
224,buckeye,33.3703,-112.5838,63.05,25,0,3.04,US,1699519413
225,louis trichardt,-23.0439,29.9032,84.27,31,0,0.96,ZA,1699519413
226,anadyr,64.75,177.4833,21.7,79,100,2.24,RU,1699519413
227,tazacorte,28.629,-17.9293,70.77,76,75,14.97,ES,1699519414
228,domerat,46.3606,2.5343,48.27,96,100,1.99,FR,1699519414
229,las terrenas,19.311,-69.5428,77.29,88,18,10.51,DO,1699519415
230,divaca,45.6847,13.9703,51.75,87,0,2.3,SI,1699519415
231,capri,40.5507,14.2426,62.38,76,0,3.44,IT,1699519402
232,malango,-2.9627,119.9001,74.61,90,70,1.3,ID,1699519416
233,al jawf,29.5,38.75,79.97,24,0,7.36,SA,1699519416
234,kavaratti,10.5669,72.642,83.86,66,100,2.39,IN,1699519417
235,dzhankoy,45.7167,34.4,55.87,59,46,14.41,UA,1699519417
236,samux,40.7647,46.4085,63.61,45,40,9.22,AZ,1699519417
237,codrington,-38.2667,141.9667,55.76,91,0,7.65,AU,1699519418
238,susuman,62.7833,148.1667,-19.79,98,90,0.78,RU,1699519418
239,ust-nera,64.5667,143.2,-22.9,99,76,3.89,RU,1699519418
240,mil'kovo,55.6078,37.7956,46.42,97,100,3.06,RU,1699519419
241,angaur state,6.906,134.13,84.81,73,91,10.54,PW,1699519419
242,coahuayana de hidalgo,18.7,-103.6583,76.55,91,100,3.58,MX,1699519419
243,poronaysk,49.2167,143.1167,36.39,94,100,5.44,RU,1699519420
244,pottsville,40.6857,-76.1955,46.94,74,35,6.42,US,1699519420
245,mujiayingzi,42.1167,118.7833,19.42,60,14,12.48,CN,1699519421
246,lamar,33.6668,-95.5836,66.63,92,75,3.44,US,1699519421
247,gargalianoi,37.0667,21.6333,70.41,62,68,9.86,GR,1699519421
248,broken hill,-31.95,141.4333,85.59,20,0,7.4,AU,1699519422
249,kragero,58.8693,9.4149,38.44,81,100,9.62,NO,1699519422
250,narayanganj,23.6233,90.5011,87.82,36,33,8.21,BD,1699519423
251,revda,56.801,59.9303,37.83,85,100,7.92,RU,1699519423
252,sao joao da barra,-21.6403,-41.0511,69.66,81,4,13.87,BR,1699519423
253,vega de alatorre,20.0333,-96.6333,75.4,88,18,7.07,MX,1699519424
254,mangrol,21.1167,70.1167,87.6,53,0,10.09,IN,1699519424
255,ancud,-41.8697,-73.8203,41.95,91,45,5.5,CL,1699519424
256,baukau,51.5526,7.2042,49.86,90,100,4.0,DE,1699519424
257,geraldton,-28.7667,114.6,72.01,56,75,18.41,AU,1699519425
258,magdagachi,53.45,125.8,15.66,80,100,2.77,RU,1699519425
259,acarau,-2.8856,-40.12,80.01,76,100,17.45,BR,1699519425
